Fully D3-symmetric perfect matchings of G11
==================================================

Matching 1:
  ('c', 10, 4) -- ('v', 11, 5)
  ('c', 10, 5) -- ('v', 10, 5)
  ('c', 10, 6) -- ('v', 11, 6)
  ('c', 10, 7) -- ('v', 11, 7)
  ('c', 10, 8) -- ('v', 11, 8)
  ('c', 10, 9) -- ('v', 11, 10)
  ('c', 10, 10) -- ('v', 11, 11)
  ('v', 2, 0) -- ('v', 3, 1)
  ('v', 2, 2) -- ('v', 3, 2)
  ('v', 9, 0) -- ('v', 9, 1)
  ('v', 9, 8) -- ('v', 9, 9)
  ('v', 10, 2) -- ('v', 11, 2)
  ('v', 10, 8) -- ('v', 11, 9)

Matching 3:
  ('c', 0, 0) -- ('v', 0, 0)
  ('c', 1, 0) -- ('v', 1, 0)
  ('c', 1, 1) -- ('v', 1, 1)
  ('c', 2, 0) -- ('v', 2, 0)
  ('c', 2, 1) -- ('v', 2, 1)
  ('c', 2, 2) -- ('v', 2, 2)
  ('c', 3, 0) -- ('v', 4, 0)
  ('c', 3, 1) -- ('v', 4, 1)
  ('c', 3, 2) -- ('v', 4, 3)
  ('c', 3, 3) -- ('v', 4, 4)
  ('c', 4, 0) -- ('v', 5, 0)
  ('c', 4, 1) -- ('v', 5, 2)
  ('c', 4, 2) -- ('v', 4, 2)
  ('c', 4, 3) -- ('v', 5, 3)
  ('c', 4, 4) -- ('v', 5, 5)
  ('c', 5, 0) -- ('v', 6, 1)
  ('c', 5, 1) -- ('v', 5, 1)
  ('c', 5, 2) -- ('v', 6, 2)
  ('c', 5, 3) -- ('v', 6, 4)
  ('c', 5, 4) -- ('v', 5, 4)
  ('c', 5, 5) -- ('v', 6, 5)
  ('c', 6, 0) -- ('v', 6, 0)
  ('c', 6, 1) -- ('v', 7, 1)
  ('c', 6, 2) -- ('v', 7, 3)
  ('c', 6, 3) -- ('v', 6, 3)
  ('c', 6, 4) -- ('v', 7, 4)
  ('c', 6, 5) -- ('v', 7, 6)
  ('c', 6, 6) -- ('v', 6, 6)
  ('c', 7, 0) -- ('v', 7, 0)
  ('c', 7, 1) -- ('v', 8, 2)
  ('c', 7, 2) -- ('v', 7, 2)
  ('c', 7, 3) -- ('v', 8, 3)
  ('c', 7, 4) -- ('v', 8, 5)
  ('c', 7, 5) -- ('v', 7, 5)
  ('c', 7, 6) -- ('v', 8, 6)
  ('c', 7, 7) -- ('v', 7, 7)
  ('c', 8, 0) -- ('v', 9, 0)
  ('c', 8, 1) -- ('v', 8, 1)
  ('c', 8, 2) -- ('v', 9, 2)
  ('c', 8, 3) -- ('v', 9, 4)
  ('c', 8, 4) -- ('v', 8, 4)
  ('c', 8, 5) -- ('v', 9, 5)
  ('c', 8, 6) -- ('v', 9, 7)
  ('c', 8, 7) -- ('v', 8, 7)
  ('c', 8, 8) -- ('v', 9, 9)
  ('c', 9, 0) -- ('v', 10, 0)
  ('c', 9, 1) -- ('v', 10, 1)
  ('c', 9, 2) -- ('v', 10, 3)
  ('c', 9, 3) -- ('v', 9, 3)
  ('c', 9, 4) -- ('v', 10, 4)
  ('c', 9, 5) -- ('v', 10, 6)
  ('c', 9, 6) -- ('v', 9, 6)
  ('c', 9, 7) -- ('v', 10, 7)
  ('c', 9, 8) -- ('v', 10, 9)
  ('c', 9, 9) -- ('v', 10, 10)
  ('c', 10, 0) -- ('v', 11, 0)
  ('c', 10, 1) -- ('v', 11, 1)
  ('c', 10, 2) -- ('v', 11, 2)
  ('c', 10, 3) -- ('v', 11, 4)
  ('c', 10, 4) -- ('v', 11, 5)
  ('c', 10, 5) -- ('v', 10, 5)
  ('c', 10, 6) -- ('v', 11, 6)
  ('c', 10, 7) -- ('v', 11, 7)
  ('c', 10, 8) -- ('v', 11, 9)
  ('c', 10, 9) -- ('v', 11, 10)
  ('c', 10, 10) -- ('v', 11, 11)
  ('v', 3, 0) -- ('v', 3, 1)
  ('v', 3, 2) -- ('v', 3, 3)
  ('v', 8, 0) -- ('v', 9, 1)
  ('v', 8, 8) -- ('v', 9, 8)
  ('v', 10, 2) -- ('v', 11, 3)
  ('v', 10, 8) -- ('v', 11, 8)

Matching 4:
  ('c', 0, 0) -- ('v', 0, 0)
  ('c', 1, 0) -- ('v', 1, 0)
  ('c', 1, 1) -- ('v', 1, 1)
  ('c', 2, 0) -- ('v', 2, 0)
  ('c', 2, 1) -- ('v', 2, 1)
  ('c', 2, 2) -- ('v', 2, 2)
  ('c', 3, 0) -- ('v', 4, 0)
  ('c', 3, 1) -- ('v', 4, 1)
  ('c', 3, 2) -- ('v', 4, 3)
  ('c', 3, 3) -- ('v', 4, 4)
  ('c', 4, 0) -- ('v', 5, 0)
  ('c', 4, 1) -- ('v', 5, 1)
  ('c', 4, 2) -- ('v', 4, 2)
  ('c', 4, 3) -- ('v', 5, 4)
  ('c', 4, 4) -- ('v', 5, 5)
  ('c', 5, 0) -- ('v', 6, 1)
  ('c', 5, 1) -- ('v', 6, 2)
  ('c', 5, 2) -- ('v', 5, 2)
  ('c', 5, 3) -- ('v', 5, 3)
  ('c', 5, 4) -- ('v', 6, 4)
  ('c', 5, 5) -- ('v', 6, 5)
  ('c', 6, 0) -- ('v', 6, 0)
  ('c', 6, 1) -- ('v', 7, 2)
  ('c', 6, 2) -- ('v', 7, 3)
  ('c', 6, 3) -- ('v', 6, 3)
  ('c', 6, 4) -- ('v', 7, 4)
  ('c', 6, 5) -- ('v', 7, 5)
  ('c', 6, 6) -- ('v', 6, 6)
  ('c', 7, 0) -- ('v', 7, 0)
  ('c', 7, 1) -- ('v', 7, 1)
  ('c', 7, 2) -- ('v', 8, 2)
  ('c', 7, 3) -- ('v', 8, 3)
  ('c', 7, 4) -- ('v', 8, 5)
  ('c', 7, 5) -- ('v', 8, 6)
  ('c', 7, 6) -- ('v', 7, 6)
  ('c', 7, 7) -- ('v', 7, 7)
  ('c', 8, 0) -- ('v', 9, 0)
  ('c', 8, 1) -- ('v', 8, 1)
  ('c', 8, 2) -- ('v', 9, 2)
  ('c', 8, 3) -- ('v', 9, 3)
  ('c', 8, 4) -- ('v', 8, 4)
  ('c', 8, 5) -- ('v', 9, 6)
  ('c', 8, 6) -- ('v', 9, 7)
  ('c', 8, 7) -- ('v', 8, 7)
  ('c', 8, 8) -- ('v', 9, 9)
  ('c', 9, 0) -- ('v', 10, 0)
  ('c', 9, 1) -- ('v', 10, 1)
  ('c', 9, 2) -- ('v', 10, 3)
  ('c', 9, 3) -- ('v', 10, 4)
  ('c', 9, 4) -- ('v', 9, 4)
  ('c', 9, 5) -- ('v', 9, 5)
  ('c', 9, 6) -- ('v', 10, 6)
  ('c', 9, 7) -- ('v', 10, 7)
  ('c', 9, 8) -- ('v', 10, 9)
  ('c', 9, 9) -- ('v', 10, 10)
  ('c', 10, 0) -- ('v', 11, 0)
  ('c', 10, 1) -- ('v', 11, 1)
  ('c', 10, 2) -- ('v', 11, 2)
  ('c', 10, 3) -- ('v', 11, 4)
  ('c', 10, 4) -- ('v', 11, 5)
  ('c', 10, 5) -- ('v', 10, 5)
  ('c', 10, 6) -- ('v', 11, 6)
  ('c', 10, 7) -- ('v', 11, 7)
  ('c', 10, 8) -- ('v', 11, 9)
  ('c', 10, 9) -- ('v', 11, 10)
  ('c', 10, 10) -- ('v', 11, 11)
  ('v', 3, 0) -- ('v', 3, 1)
  ('v', 3, 2) -- ('v', 3, 3)
  ('v', 8, 0) -- ('v', 9, 1)
  ('v', 8, 8) -- ('v', 9, 8)
  ('v', 10, 2) -- ('v', 11, 3)
  ('v', 10, 8) -- ('v', 11, 8)

Matching 5:
  ('c', 0, 0) -- ('v', 0, 0)
  ('c', 1, 0) -- ('v', 2, 0)
  ('c', 1, 1) -- ('v', 2, 2)
  ('c', 2, 0) -- ('v', 3, 0)
  ('c', 2, 1) -- ('v', 2, 1)
  ('c', 2, 2) -- ('v', 3, 3)
  ('c', 3, 0) -- ('v', 4, 0)
  ('c', 3, 1) -- ('v', 4, 1)
  ('c', 3, 2) -- ('v', 4, 3)
  ('c', 3, 3) -- ('v', 4, 4)
  ('c', 4, 0) -- ('v', 5, 0)
  ('c', 4, 1) -- ('v', 5, 2)
  ('c', 4, 2) -- ('v', 4, 2)
  ('c', 4, 3) -- ('v', 5, 3)
  ('c', 4, 4) -- ('v', 5, 5)
  ('c', 5, 0) -- ('v', 6, 1)
  ('c', 5, 1) -- ('v', 5, 1)
  ('c', 5, 2) -- ('v', 6, 2)
  ('c', 5, 3) -- ('v', 6, 4)
  ('c', 5, 4) -- ('v', 5, 4)
  ('c', 5, 5) -- ('v', 6, 5)
  ('c', 6, 0) -- ('v', 6, 0)
  ('c', 6, 1) -- ('v', 7, 1)
  ('c', 6, 2) -- ('v', 7, 3)
  ('c', 6, 3) -- ('v', 6, 3)
  ('c', 6, 4) -- ('v', 7, 4)
  ('c', 6, 5) -- ('v', 7, 6)
  ('c', 6, 6) -- ('v', 6, 6)
  ('c', 7, 0) -- ('v', 7, 0)
  ('c', 7, 1) -- ('v', 8, 2)
  ('c', 7, 2) -- ('v', 7, 2)
  ('c', 7, 3) -- ('v', 8, 3)
  ('c', 7, 4) -- ('v', 8, 5)
  ('c', 7, 5) -- ('v', 7, 5)
  ('c', 7, 6) -- ('v', 8, 6)
  ('c', 7, 7) -- ('v', 7, 7)
  ('c', 8, 0) -- ('v', 8, 0)
  ('c', 8, 1) -- ('v', 8, 1)
  ('c', 8, 2) -- ('v', 9, 2)
  ('c', 8, 3) -- ('v', 9, 4)
  ('c', 8, 4) -- ('v', 8, 4)
  ('c', 8, 5) -- ('v', 9, 5)
  ('c', 8, 6) -- ('v', 9, 7)
  ('c', 8, 7) -- ('v', 8, 7)
  ('c', 8, 8) -- ('v', 8, 8)
  ('c', 9, 0) -- ('v', 9, 0)
  ('c', 9, 1) -- ('v', 10, 1)
  ('c', 9, 2) -- ('v', 10, 3)
  ('c', 9, 3) -- ('v', 9, 3)
  ('c', 9, 4) -- ('v', 10, 4)
  ('c', 9, 5) -- ('v', 10, 6)
  ('c', 9, 6) -- ('v', 9, 6)
  ('c', 9, 7) -- ('v', 10, 7)
  ('c', 9, 8) -- ('v', 10, 9)
  ('c', 9, 9) -- ('v', 9, 9)
  ('c', 10, 0) -- ('v', 11, 0)
  ('c', 10, 1) -- ('v', 11, 2)
  ('c', 10, 2) -- ('v', 11, 3)
  ('c', 10, 3) -- ('v', 11, 4)
  ('c', 10, 4) -- ('v', 11, 5)
  ('c', 10, 5) -- ('v', 10, 5)
  ('c', 10, 6) -- ('v', 11, 6)
  ('c', 10, 7) -- ('v', 11, 7)
  ('c', 10, 8) -- ('v', 11, 8)
  ('c', 10, 9) -- ('v', 11, 9)
  ('c', 10, 10) -- ('v', 11, 11)
  ('v', 1, 0) -- ('v', 1, 1)
  ('v', 3, 1) -- ('v', 3, 2)
  ('v', 9, 1) -- ('v', 10, 2)
  ('v', 9, 8) -- ('v', 10, 8)
  ('v', 10, 0) -- ('v', 11, 1)
  ('v', 10, 10) -- ('v', 11, 10)

Matching 6:
  ('c', 0, 0) -- ('v', 0, 0)
  ('c', 1, 0) -- ('v', 1, 0)
  ('c', 1, 1) -- ('v', 1, 1)
  ('c', 2, 0) -- ('v', 2, 0)
  ('c', 2, 1) -- ('v', 2, 1)
  ('c', 2, 2) -- ('v', 2, 2)
  ('c', 3, 0) -- ('v', 3, 0)
  ('c', 3, 1) -- ('v', 4, 1)
  ('c', 3, 2) -- ('v', 4, 3)
  ('c', 3, 3) -- ('v', 3, 3)
  ('c', 4, 0) -- ('v', 4, 0)
  ('c', 4, 1) -- ('v', 5, 2)
  ('c', 4, 2) -- ('v', 4, 2)
  ('c', 4, 3) -- ('v', 5, 3)
  ('c', 4, 4) -- ('v', 4, 4)
  ('c', 5, 0) -- ('v', 6, 1)
  ('c', 5, 1) -- ('v', 5, 1)
  ('c', 5, 2) -- ('v', 6, 2)
  ('c', 5, 3) -- ('v', 6, 4)
  ('c', 5, 4) -- ('v', 5, 4)
  ('c', 5, 5) -- ('v', 6, 5)
  ('c', 6, 0) -- ('v', 7, 0)
  ('c', 6, 1) -- ('v', 7, 1)
  ('c', 6, 2) -- ('v', 7, 3)
  ('c', 6, 3) -- ('v', 6, 3)
  ('c', 6, 4) -- ('v', 7, 4)
  ('c', 6, 5) -- ('v', 7, 6)
  ('c', 6, 6) -- ('v', 7, 7)
  ('c', 7, 0) -- ('v', 8, 0)
  ('c', 7, 1) -- ('v', 8, 2)
  ('c', 7, 2) -- ('v', 7, 2)
  ('c', 7, 3) -- ('v', 8, 3)
  ('c', 7, 4) -- ('v', 8, 5)
  ('c', 7, 5) -- ('v', 7, 5)
  ('c', 7, 6) -- ('v', 8, 6)
  ('c', 7, 7) -- ('v', 8, 8)
  ('c', 8, 0) -- ('v', 9, 0)
  ('c', 8, 1) -- ('v', 8, 1)
  ('c', 8, 2) -- ('v', 9, 2)
  ('c', 8, 3) -- ('v', 9, 4)
  ('c', 8, 4) -- ('v', 8, 4)
  ('c', 8, 5) -- ('v', 9, 5)
  ('c', 8, 6) -- ('v', 9, 7)
  ('c', 8, 7) -- ('v', 8, 7)
  ('c', 8, 8) -- ('v', 9, 9)
  ('c', 9, 0) -- ('v', 10, 0)
  ('c', 9, 1) -- ('v', 10, 1)
  ('c', 9, 2) -- ('v', 10, 3)
  ('c', 9, 3) -- ('v', 9, 3)
  ('c', 9, 4) -- ('v', 10, 4)
  ('c', 9, 5) -- ('v', 10, 6)
  ('c', 9, 6) -- ('v', 9, 6)
  ('c', 9, 7) -- ('v', 10, 7)
  ('c', 9, 8) -- ('v', 10, 9)
  ('c', 9, 9) -- ('v', 10, 10)
  ('c', 10, 0) -- ('v', 11, 0)
  ('c', 10, 1) -- ('v', 11, 1)
  ('c', 10, 2) -- ('v', 11, 2)
  ('c', 10, 3) -- ('v', 11, 3)
  ('c', 10, 4) -- ('v', 11, 4)
  ('c', 10, 5) -- ('v', 10, 5)
  ('c', 10, 6) -- ('v', 11, 7)
  ('c', 10, 7) -- ('v', 11, 8)
  ('c', 10, 8) -- ('v', 11, 9)
  ('c', 10, 9) -- ('v', 11, 10)
  ('c', 10, 10) -- ('v', 11, 11)
  ('v', 3, 1) -- ('v', 3, 2)
  ('v', 5, 0) -- ('v', 6, 0)
  ('v', 5, 5) -- ('v', 6, 6)
  ('v', 9, 1) -- ('v', 10, 2)
  ('v', 9, 8) -- ('v', 10, 8)
  ('v', 11, 5) -- ('v', 11, 6)

Matching 7:
  ('c', 0, 0) -- ('v', 0, 0)
  ('c', 1, 0) -- ('v', 2, 0)
  ('c', 1, 1) -- ('v', 2, 2)
  ('c', 2, 0) -- ('v', 3, 0)
  ('c', 2, 1) -- ('v', 2, 1)
  ('c', 2, 2) -- ('v', 3, 3)
  ('c', 3, 0) -- ('v', 4, 0)
  ('c', 3, 1) -- ('v', 4, 1)
  ('c', 3, 2) -- ('v', 4, 3)
  ('c', 3, 3) -- ('v', 4, 4)
  ('c', 4, 0) -- ('v', 5, 0)
  ('c', 4, 1) -- ('v', 5, 1)
  ('c', 4, 2) -- ('v', 4, 2)
  ('c', 4, 3) -- ('v', 5, 4)
  ('c', 4, 4) -- ('v', 5, 5)
  ('c', 5, 0) -- ('v', 6, 1)
  ('c', 5, 1) -- ('v', 6, 2)
  ('c', 5, 2) -- ('v', 5, 2)
  ('c', 5, 3) -- ('v', 5, 3)
  ('c', 5, 4) -- ('v', 6, 4)
  ('c', 5, 5) -- ('v', 6, 5)
  ('c', 6, 0) -- ('v', 6, 0)
  ('c', 6, 1) -- ('v', 7, 2)
  ('c', 6, 2) -- ('v', 7, 3)
  ('c', 6, 3) -- ('v', 6, 3)
  ('c', 6, 4) -- ('v', 7, 4)
  ('c', 6, 5) -- ('v', 7, 5)
  ('c', 6, 6) -- ('v', 6, 6)
  ('c', 7, 0) -- ('v', 7, 0)
  ('c', 7, 1) -- ('v', 7, 1)
  ('c', 7, 2) -- ('v', 8, 2)
  ('c', 7, 3) -- ('v', 8, 3)
  ('c', 7, 4) -- ('v', 8, 5)
  ('c', 7, 5) -- ('v', 8, 6)
  ('c', 7, 6) -- ('v', 7, 6)
  ('c', 7, 7) -- ('v', 7, 7)
  ('c', 8, 0) -- ('v', 8, 0)
  ('c', 8, 1) -- ('v', 8, 1)
  ('c', 8, 2) -- ('v', 9, 2)
  ('c', 8, 3) -- ('v', 9, 3)
  ('c', 8, 4) -- ('v', 8, 4)
  ('c', 8, 5) -- ('v', 9, 6)
  ('c', 8, 6) -- ('v', 9, 7)
  ('c', 8, 7) -- ('v', 8, 7)
  ('c', 8, 8) -- ('v', 8, 8)
  ('c', 9, 0) -- ('v', 9, 0)
  ('c', 9, 1) -- ('v', 10, 1)
  ('c', 9, 2) -- ('v', 10, 3)
  ('c', 9, 3) -- ('v', 10, 4)
  ('c', 9, 4) -- ('v', 9, 4)
  ('c', 9, 5) -- ('v', 9, 5)
  ('c', 9, 6) -- ('v', 10, 6)
  ('c', 9, 7) -- ('v', 10, 7)
  ('c', 9, 8) -- ('v', 10, 9)
  ('c', 9, 9) -- ('v', 9, 9)
  ('c', 10, 0) -- ('v', 11, 0)
  ('c', 10, 1) -- ('v', 11, 2)
  ('c', 10, 2) -- ('v', 11, 3)
  ('c', 10, 3) -- ('v', 11, 4)
  ('c', 10, 4) -- ('v', 11, 5)
  ('c', 10, 5) -- ('v', 10, 5)
  ('c', 10, 6) -- ('v', 11, 6)
  ('c', 10, 7) -- ('v', 11, 7)
  ('c', 10, 8) -- ('v', 11, 8)
  ('c', 10, 9) -- ('v', 11, 9)
  ('c', 10, 10) -- ('v', 11, 11)
  ('v', 1, 0) -- ('v', 1, 1)
  ('v', 3, 1) -- ('v', 3, 2)
  ('v', 9, 1) -- ('v', 10, 2)
  ('v', 9, 8) -- ('v', 10, 8)
  ('v', 10, 0) -- ('v', 11, 1)
  ('v', 10, 10) -- ('v', 11, 10)

Matching 8:
  ('c', 0, 0) -- ('v', 0, 0)
  ('c', 1, 0) -- ('v', 1, 0)
  ('c', 1, 1) -- ('v', 1, 1)
  ('c', 2, 0) -- ('v', 2, 0)
  ('c', 2, 1) -- ('v', 2, 1)
  ('c', 2, 2) -- ('v', 2, 2)
  ('c', 3, 0) -- ('v', 3, 0)
  ('c', 3, 1) -- ('v', 4, 1)
  ('c', 3, 2) -- ('v', 4, 3)
  ('c', 3, 3) -- ('v', 3, 3)
  ('c', 4, 0) -- ('v', 4, 0)
  ('c', 4, 1) -- ('v', 5, 1)
  ('c', 4, 2) -- ('v', 4, 2)
  ('c', 4, 3) -- ('v', 5, 4)
  ('c', 4, 4) -- ('v', 4, 4)
  ('c', 5, 0) -- ('v', 6, 1)
  ('c', 5, 1) -- ('v', 6, 2)
  ('c', 5, 2) -- ('v', 5, 2)
  ('c', 5, 3) -- ('v', 5, 3)
  ('c', 5, 4) -- ('v', 6, 4)
  ('c', 5, 5) -- ('v', 6, 5)
  ('c', 6, 0) -- ('v', 7, 0)
  ('c', 6, 1) -- ('v', 7, 2)
  ('c', 6, 2) -- ('v', 7, 3)
  ('c', 6, 3) -- ('v', 6, 3)
  ('c', 6, 4) -- ('v', 7, 4)
  ('c', 6, 5) -- ('v', 7, 5)
  ('c', 6, 6) -- ('v', 7, 7)
  ('c', 7, 0) -- ('v', 8, 0)
  ('c', 7, 1) -- ('v', 7, 1)
  ('c', 7, 2) -- ('v', 8, 2)
  ('c', 7, 3) -- ('v', 8, 3)
  ('c', 7, 4) -- ('v', 8, 5)
  ('c', 7, 5) -- ('v', 8, 6)
  ('c', 7, 6) -- ('v', 7, 6)
  ('c', 7, 7) -- ('v', 8, 8)
  ('c', 8, 0) -- ('v', 9, 0)
  ('c', 8, 1) -- ('v', 8, 1)
  ('c', 8, 2) -- ('v', 9, 2)
  ('c', 8, 3) -- ('v', 9, 3)
  ('c', 8, 4) -- ('v', 8, 4)
  ('c', 8, 5) -- ('v', 9, 6)
  ('c', 8, 6) -- ('v', 9, 7)
  ('c', 8, 7) -- ('v', 8, 7)
  ('c', 8, 8) -- ('v', 9, 9)
  ('c', 9, 0) -- ('v', 10, 0)
  ('c', 9, 1) -- ('v', 10, 1)
  ('c', 9, 2) -- ('v', 10, 3)
  ('c', 9, 3) -- ('v', 10, 4)
  ('c', 9, 4) -- ('v', 9, 4)
  ('c', 9, 5) -- ('v', 9, 5)
  ('c', 9, 6) -- ('v', 10, 6)
  ('c', 9, 7) -- ('v', 10, 7)
  ('c', 9, 8) -- ('v', 10, 9)
  ('c', 9, 9) -- ('v', 10, 10)
  ('c', 10, 0) -- ('v', 11, 0)
  ('c', 10, 1) -- ('v', 11, 1)
  ('c', 10, 2) -- ('v', 11, 2)
  ('c', 10, 3) -- ('v', 11, 3)
  ('c', 10, 4) -- ('v', 11, 4)
  ('c', 10, 5) -- ('v', 10, 5)
  ('c', 10, 6) -- ('v', 11, 7)
  ('c', 10, 7) -- ('v', 11, 8)
  ('c', 10, 8) -- ('v', 11, 9)
  ('c', 10, 9) -- ('v', 11, 10)
  ('c', 10, 10) -- ('v', 11, 11)
  ('v', 3, 1) -- ('v', 3, 2)
  ('v', 5, 0) -- ('v', 6, 0)
  ('v', 5, 5) -- ('v', 6, 6)
  ('v', 9, 1) -- ('v', 10, 2)
  ('v', 9, 8) -- ('v', 10, 8)
  ('v', 11, 5) -- ('v', 11, 6)

Matching 9:
  ('c', 0, 0) -- ('v', 0, 0)
  ('c', 1, 0) -- ('v', 1, 0)
